Qty,Total,Ordered, Value, Footprint,Mouser Part Number,Digikey Part Number, Datasheet
1,5,10,100k,Resistor_SMD:R_0402_1005Metric,,RMCF0402FT100KCT-ND_,~
8,40,100,10k,Resistor_SMD:R_0402_1005Metric,,_RMCF0402FT10K0CT-ND_,~
3,15,20,10uF,Capacitor_SMD:C_0402_1005Metric,,_1276-1451-1-ND_,~
2,10,20,12k,Resistor_SMD:R_0402_1005Metric,,_RMCF0402FT12K0CT-ND_,~
1,5,10,22uF,Capacitor_SMD:C_0402_1005Metric,,_1276-7090-1-ND_,~
1,5,10,27k,Resistor_SMD:R_0402_1005Metric,,_RMCF0402FT27K0CT-ND_,~
2,10,20,330R,Resistor_SMD:R_0402_1005Metric,,RMCF0402FT330RCT-ND_,~
1,5,10,3k,Resistor_SMD:R_0402_1005Metric,,_RMCF0402FT3K00CT-ND_,~
2,10,20,BC817W,Package_TO_SOT_SMD:SOT-323_SC-70,771-BC817W115,_1727-4843-1-ND_,http://www.fairchildsemi.com/ds/BC/BC817.pdf
1,5,,Conn_FTDI,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical,,,~
1,5,10,ESP32S2-WROVER,RF_Module:ESP32-S2-WROVER,356-ESP32S2WRV3216PH,1965-ESP32-S2-WROVERCT-ND_,
2,10,20,IRF7105PbF,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,942-IRF7105TRPBF,IRF7105PBFCT-ND_,http://www.irf.com/product-info/datasheets/data/irf8721pbf-1.pdf
1,5,10,MCP1700-3302E_SOT89,Package_TO_SOT_SMD:SOT-89-3,579-MCP1700T3302E/MB,_MCP1700T3302EMBCT-ND_,http://ww1.microchip.com/downloads/en/DeviceDoc/20001826C.pdf
3,15,,Motor_DC,Connector_JST:JST_EH_B02B-EH-A_1x02_P2.50mm_Vertical,,,~
1,5,5,BQ24074RGTT_,IC BATT CHG LI-ION 1CELL 16QFN,,_296-23798-1-ND_,
,,,Solar Panel,MONOCRYSTALIN SOLAR CELL 1W 8.2V,,1597-1418-ND_,
